epoch,train_loss,train_field,train_peak,train_gradient,val_loss,val_field,val_peak,val_gradient,train_energy,val_energy,train_interface_flux,val_interface_flux,lr
1,3.1971770839558706,2.031082362971372,6.446128310811925,1.0074339968462784,1.7655380815267563,0.9793817475438118,6.285468205809593,0.805240698158741,8.178540476494366,2.273635610938072,15.376968103978369,3.5937357991933823,0.001
2,1.9807491824030876,0.9290150666816367,4.159759440058325,0.9473843640751308,1.373989276587963,0.8585841879248619,2.270128100644797,0.6302996650338173,12.496981571945879,5.161534130573273,16.92246557275454,7.6823320388793945,0.001
3,1.6667637671861382,0.7841320810839534,2.5425052531946775,0.9614477917138072,1.1496382504701614,0.6149712540209293,1.5984603725373745,0.8038501739501953,13.608257792890072,6.683065161108971,15.40718082918061,10.048358738422394,0.001
4,1.3853640800548923,0.6173587422817945,1.8801644929529477,0.9391386188152763,0.9692249298095703,0.5770302042365074,1.004024030873552,0.6478162854909897,13.187637311716873,5.293613523244858,13.463960632681847,7.676463603973389,0.001
5,1.2417201892369323,0.555632964707911,1.6167234620111735,0.908358021121886,0.7686873152852058,0.4816559720784426,0.8026827769353986,0.68262505158782,12.320207318498028,5.062028408050537,11.629641729924414,3.5695626735687256,0.001
6,1.1336029799034197,0.49940617346308297,1.4481736618375483,0.8751280674089987,0.7733541317284107,0.5176949929445982,1.4356757439672947,0.43236182257533073,12.013936235672897,2.565536044538021,10.267216203941238,1.9581372737884521,0.001
7,1.0649323192321591,0.4495086947249041,1.3599196540049483,0.8501334233830372,0.9914445653557777,0.6761902570724487,1.327447384595871,0.5317568108439445,11.98659885674715,3.561513304710388,9.85965140743388,4.234572499990463,0.001
8,1.0102363346765437,0.43705530205948484,1.2373686315841042,0.8421899939162864,0.5825957283377647,0.36702350806444883,0.5836731091840193,0.47865863144397736,11.665526217884487,3.7438846230506897,8.701207127008173,2.9197146594524384,0.001
9,0.9710433080585466,0.4078717153622872,1.278549416650397,0.8124480270263221,0.6530037485063076,0.36580053344368935,0.6169329549884424,0.572862233966589,11.395449416504965,4.774191036820412,8.339263175924618,5.069148898124695,0.001
10,0.935354667301807,0.39370573327566183,1.125632927297071,0.804106388034092,0.5974802561104298,0.39461730793118477,0.6436952333897352,0.4002489373087883,11.540726378560066,3.1743340343236923,7.903289903369214,2.749714657664299,0.001
