epoch,train_loss,train_field,train_peak,train_gradient,val_loss,val_field,val_peak,val_gradient,train_energy,val_energy,train_interface_flux,val_interface_flux,lr
1,3.4145218986603947,1.9070519335154028,6.0321455488576445,1.131055480490128,2.355023331940174,1.5044267177581787,4.147372007369995,1.9169801473617554,6.325543716549873,13.23657289147377,36.0595888486132,3.763947645202279,0.001
2,2.0650221868935557,1.268105189109014,3.5935668348829495,1.2120219411121473,1.4846171438694,1.036965861916542,3.098199876025319,0.7320384681224823,8.869205687608984,2.4635123163461685,9.978755022502607,2.597955644130707,0.001
3,1.5475115413881009,0.978236498311162,3.092679879286354,0.8826489523053169,1.3826951310038567,0.91002431884408,2.455200593918562,0.9144526943564415,5.5202260158128205,4.498044803738594,5.273504341435101,4.573359966278076,0.001
4,1.3218782738678985,0.8368198686382836,2.172104244457134,0.8575129519320196,1.0382554717361927,0.7076648976653814,1.339594503864646,0.6490523517131805,6.464245819383197,3.6508301198482513,4.784370997713672,4.558096364140511,0.001
5,1.0299178779953055,0.6349638039246202,1.6226346660712603,0.7636820276578267,0.9823768734931946,0.4984298124909401,1.1332421926781535,1.5377639345824718,5.5736345615651866,10.419271558523178,4.1516909537216025,4.267460964620113,0.001
6,0.9920692965388298,0.5922479775941206,1.3114132638018214,0.8336027326683203,0.67572420835495,0.47486938908696175,0.8111846512183547,0.5027449578046799,6.130078490823507,2.2440564706921577,5.219914603564474,2.4858992844820023,0.001
7,0.7921571920936306,0.4847287439430753,0.9718351436911487,0.5733907214469379,0.6808609776198864,0.46305121295154095,1.0153088327497244,0.4628942608833313,4.4381072711613445,2.1684895902872086,4.640662878337833,2.4882186502218246,0.001
8,0.6826410581254296,0.4198826622838775,0.7553510383424711,0.5364227406680584,0.4585814978927374,0.3138970276340842,0.4734123977832496,0.37199997901916504,4.091092962357733,2.3037728518247604,3.929015015148454,1.633389376103878,0.001
9,0.5577863685579764,0.32293010047740406,0.7475658223346625,0.4645528744699226,0.412438927218318,0.24949493631720543,0.7137338578468189,0.32912208139896393,3.406950745317671,1.8291921466588974,3.436651587486267,1.9265325888991356,0.001
10,0.5786343360733655,0.3566865016861508,0.6567468012168926,0.4500367114734318,0.5706774145364761,0.38969334587454796,0.5839453074149787,0.4146483354270458,3.3358586740990477,2.147409126162529,3.3527071103453636,2.9454470425844193,0.001
11,0.515221928867201,0.32515275667214555,0.4902794060601283,0.40429169850216967,0.43261460959911346,0.3100757524371147,0.31768824224127457,0.31434039771556854,2.9646590881877475,1.6571256890892982,3.0766733301182585,2.0955256298184395,0.001
12,0.4964810340768761,0.3249683894423975,0.5233505935906982,0.3643909305748012,0.33711472526192665,0.21879108808934689,0.4302205662243068,0.3215559795498848,2.5892676454451347,1.615569993853569,2.4586343475513988,1.3456194400787354,0.001
13,0.3860204745497968,0.22636249596770439,0.3018801657876887,0.3821281595155597,0.37252386286854744,0.23606814164668322,0.3229372804053128,0.3524809218943119,2.808846430232127,2.3140180110931396,2.7093313880678678,2.0128787979483604,0.001
