epoch,train_loss,train_field,train_peak,train_gradient,val_loss,val_field,val_peak,val_gradient,train_energy,val_energy,train_interface_flux,val_interface_flux,lr
1,2.0184239053633064,1.4704132853075862,3.9154822896186183,0.6697878066916019,1.006624486297369,0.7131862882524729,2.0968285049311817,0.4646137347444892,3.63333329030623,2.076074108481407,2.515316229003171,0.9501591827720404,0.001
2,0.92662486305926,0.6615162069210783,1.3818060169918074,0.6116636745476474,0.7086051553487778,0.4838065872900188,1.263896441028919,0.44775605108588934,2.9722139347189414,2.058900671079755,1.8450297359765195,1.7421550676226616,0.001
3,0.6541428147271896,0.46684503473807126,0.9325184827666817,0.43969956211124855,0.5906450916081667,0.39071043115109205,1.586718519727583,0.2666435167193413,2.1950897128166007,0.8066265992820263,1.4079578540598352,0.5899043027311563,0.001
4,0.5388024951874588,0.3790645284461789,0.8504147537587414,0.3519445382989943,0.6370336273685098,0.48458692291751504,0.6703335072379559,0.5029939133673906,1.796866200864315,1.6706549860537052,1.0580970963928849,1.342527374625206,0.001
5,0.503232253754201,0.361185397040875,0.6721198430265455,0.3371481632154124,0.4534070445224643,0.3222622782923281,0.6298388830036856,0.39080636762082577,1.7115968614040562,1.5063084159046412,1.187276492283369,0.9247194854542613,0.001
6,0.4102595560640717,0.2958179083264743,0.5212048806532721,0.2823580414406024,0.38175055058673024,0.2665927615016699,0.7190786887076683,0.25136510701850057,1.4391400484212984,0.8785287123173475,0.9710227593507927,0.6555549092590809,0.001
7,0.44394272115702427,0.3252970270308045,0.5835340193898446,0.29632865767537925,0.4443698050454259,0.27877624798566103,1.2491348618641496,0.21814938494935632,1.416310343154085,0.8263393631204963,0.8574827952349248,0.6622908497229218,0.001
8,0.34224265200706816,0.24042324760618308,0.4551935813409121,0.259507226330849,0.6215752409771085,0.48259396431967616,0.5673573871317785,0.3780656447634101,1.323855484331337,1.6056934837251902,0.842378756768691,1.561419377103448,0.001
9,0.31985935334038607,0.2243063431427193,0.43058325233838934,0.26018978731008247,0.5859844610095024,0.47125111101195216,0.5116594524588436,0.3613859456963837,1.2065674461967622,1.4208105392754078,0.7676923606777564,0.8540953043848276,0.001
10,0.24820287438342348,0.1688068221750048,0.3265468219947252,0.22019052232887285,0.4042835710570216,0.2609237958677113,0.5201716060983017,0.45408007921651006,1.1034211645601317,2.3140805596485734,0.6831710749538615,1.117850054986775,0.001
11,0.2668495362255877,0.18301377860674012,0.3460259791725851,0.2291403571725823,0.455262987408787,0.33491436718031764,0.5154843539057765,0.35689555387943983,1.1905069088097662,1.4642428793013096,0.6983001830521971,1.0835270006209612,0.001
12,0.23284341939142905,0.16237668189569376,0.2914834448562639,0.20254313739133067,0.3779395902529359,0.2151462472975254,0.7628009856998688,0.5414208974689245,1.0240747830248438,2.0887587862089276,0.5354870170995127,0.8833511094562709,0.001
13,0.23597431371066097,0.16308048659023672,0.2931246570069561,0.20499824365833774,0.2601650864817202,0.17786701954901218,0.39151566984219244,0.2800125174690038,1.1210409702034667,1.005284022539854,0.545531532591364,0.4520101584494114,0.001
14,0.20639069930378656,0.14011290725708628,0.2903955188597441,0.18962811309999475,0.30513503309339285,0.1863006146159023,0.6377218758279923,0.355883986921981,0.9231837888558705,1.2409899849444628,0.46465798585753265,0.6224116925150156,0.001
15,0.20280276620178483,0.1405530586198438,0.23107425641880278,0.19213064053716758,0.387599416077137,0.2818407593294978,0.4430582507920917,0.28155121812596917,0.9772420456477751,1.1491947527974844,0.4995454866924168,1.2195688774809241,0.001
16,0.1960025857357929,0.13762437349456982,0.22369066812734673,0.17953343648696318,0.19369745906442404,0.13322902377694845,0.3008795891291811,0.22537756082601845,0.9096902910387143,0.6758315060287714,0.44193339309034246,0.2797482805326581,0.001
17,0.18359036283800378,0.1272253270629638,0.2055007853123243,0.176101301854942,0.2216403023339808,0.15890335966832936,0.3877710986271268,0.14043728215619922,0.8796024388478447,0.4179725330322981,0.4708921447163448,0.42892568558454514,0.001
18,0.1712295468605589,0.11847137901834988,0.20310344182538148,0.17250071424253594,0.23332548141479492,0.17232358641922474,0.4081538063182961,0.13799990457482636,0.8235538202764776,0.43608291633427143,0.36758555926887004,0.22824265621602535,0.001
19,0.1803724448206291,0.12522576132808655,0.21065773967939094,0.17052344862410487,0.5632199132815003,0.47369997249916196,0.4142282214015722,0.3004165906459093,0.8762148999570247,0.9023599354550242,0.4015220015135128,0.751454986166209,0.001
20,0.20983019717580947,0.14944183066836558,0.2695007847307048,0.17508573845649758,0.24640706833451986,0.1839212952181697,0.3131870753277326,0.19453475181944668,0.8424477703520097,0.7046156488358974,0.3917523260073115,0.367400627117604,0.001
21,0.18165551126973392,0.12634181858447846,0.21627438678054506,0.16893537382323603,0.1924385002348572,0.1337498347274959,0.30762836275971495,0.16174794547259808,0.8630624621291645,0.5990543556399643,0.3989118196380635,0.3928672266192734,0.001
22,0.15708026011513235,0.10638409402599791,0.1887724811854241,0.15652208352306235,0.2507982598617673,0.18786695995368063,0.28439877375785727,0.22492431895807385,0.7989148908721593,0.7715312335640192,0.40072582633971854,0.39072923455387354,0.001
23,0.14934956749008657,0.10089367826973708,0.18247551685143054,0.14987130733788945,0.24973997846245766,0.1530890678986907,0.41367139253998175,0.2931663813069463,0.7829934494608702,1.342255525290966,0.35274511518461316,0.6890167607925832,0.001
24,0.14969629378659494,0.10294382109714206,0.18431280533945937,0.1444414351232505,0.21962342248298228,0.1580750870052725,0.3002199292968726,0.16189091885462403,0.7422314326783331,0.7833549636416137,0.3127246111398563,0.3882351885549724,0.001
25,0.14489792654057965,0.09520617155067157,0.18746517829761916,0.14976527609784776,0.2496892074123025,0.1630264192353934,0.6385762542777229,0.12305276934057474,0.7756166349087531,0.5285021779127419,0.3972320626295792,0.3041240011807531,0.001
26,0.13178492623652951,0.09157535901370768,0.13641879843430615,0.13397341021724665,0.2805219285655767,0.22383281029760838,0.32950502724270336,0.1449564213398844,0.6731537955541473,0.49319676076993346,0.32029704833015177,0.3313430044800043,0.001
27,0.14008656922669616,0.09943704428830338,0.14685283331285365,0.1310987926844973,0.22993366234004498,0.17812066245824099,0.2671475228271447,0.14906198135577142,0.6661812257176886,0.5563261099159718,0.30428388505242765,0.325931160710752,0.001
28,0.13930973130239482,0.0983726739505073,0.14316372822061868,0.13395089252541462,0.18666494963690639,0.1369519205763936,0.2454814049306151,0.16934957378543913,0.654943694496372,0.6107105715200305,0.34121333415775246,0.2241598425898701,0.001
29,0.13059450894555386,0.08968247628217796,0.14632983891920048,0.13120012690584795,0.16307774605229497,0.11878497898578644,0.22874239506927552,0.13280173717066646,0.6639485091824705,0.4395138774998486,0.3220036235288717,0.299408124294132,0.001
30,0.12723751938028727,0.08851193111816731,0.14153678619398607,0.1258368833271864,0.226549101062119,0.17319841193966568,0.2740495178150013,0.14485118305310607,0.6077783211755255,0.47449737042188644,0.30622497832519,0.46066170395351946,0.001
31,0.12011161253030878,0.08072560303601979,0.15636284112179055,0.11978591114166193,0.1866226561833173,0.14319472736679018,0.19366937159065856,0.13235878315754235,0.6080814878029438,0.6283169500529766,0.2799400267443464,0.2438360070809722,0.001
32,0.13019596084389679,0.09191015333878264,0.14287850287685916,0.11147891190679123,0.1694156990852207,0.12620614748448133,0.17076730391272577,0.13976918254047632,0.6416791696683504,0.6510029402561486,0.27952142382855527,0.3062150808982551,0.001
