epoch,train_loss,train_field,train_peak,train_gradient,val_loss,val_field,val_peak,val_gradient,train_energy,val_energy,train_interface_flux,val_interface_flux,lr
1,5.983803296461701,3.5371493271086365,6.427927767894289,0.9766238202961782,2.0285369642078876,1.2692414931952953,5.1778169153258204,0.6106317900121212,18.40252916359653,2.8551567271351814,69.34897237457335,7.693951517343521,0.001
2,1.981343436986208,0.9369657875116293,3.080851300478874,0.85241282506225,1.2138805519789457,0.7309534624218941,3.119987525860779,0.47770094871520996,13.355221883704264,2.858485095202923,21.32837241422385,4.493678271770477,0.001
3,1.419502163073048,0.6483226369600743,2.3139931262946143,0.7860291486140341,1.0030896831303835,0.600136948749423,2.755223123996984,0.3675154037773609,12.770384938145677,2.32817817106843,12.25355337249736,3.124554455280304,0.001
4,1.2141348116565496,0.5296532814779008,1.9704184487745806,0.7001973624962071,0.849359373562038,0.5089198499917984,2.169114914344391,0.34181919880211353,12.129857297365863,2.5200389698147774,10.491633928691346,2.80181398242712,0.001
5,1.1283410038643826,0.4866592933152181,1.7201690712821194,0.6504872394337629,0.7850145008414984,0.45473132748156786,1.6984290065593086,0.30260886531323195,11.933454921779532,2.64086576923728,9.923567595270772,4.624626114964485,0.001
6,1.0705023546082277,0.46198317082598805,1.5945817645733769,0.6253324629894147,0.7296530175954103,0.43299706745892763,1.5350226641166955,0.29315594118088484,11.432471378395954,2.453912280499935,9.45724804016451,3.9708821326494217,0.001
7,1.0266483889427036,0.4407845776489315,1.4629027665869216,0.5961238706173996,0.6740445904433727,0.4110515024513006,1.3919227267615497,0.3035056032240391,11.361339043204982,2.4473152980208397,9.127028215366105,2.9839608930051327,0.001
8,0.9877239329119523,0.41629636043217033,1.378859799996159,0.5881397526245564,0.6629699924960732,0.4090270344167948,1.4996216928993817,0.27187786577269435,11.311558766911427,2.0450458750128746,8.895171724880734,2.4742992967367172,0.001
9,0.9527477592540283,0.3995573489616314,1.2940256206032548,0.5804139267420396,0.5754899960011244,0.35294900415465236,1.2282324525294825,0.2857039156369865,11.204804340998331,2.1162205431610346,8.533553718278805,2.155407316982746,0.001
10,0.9300092100553835,0.3818868340264695,1.167577368198787,0.5784710753165806,0.635496661067009,0.39349603839218616,1.6279265087505337,0.19268226018175483,11.29943988006562,1.4055083934217691,8.822614776281018,2.073185123503208,0.001
11,0.9153319829686855,0.3733577467792202,1.1826799017748422,0.5773572030787666,0.6108283549547195,0.3684839787892997,1.4867900242243195,0.2105972534045577,11.185266405033568,1.622105099260807,8.556653274223208,2.534670177847147,0.001
12,0.9046308365650475,0.3764239503943827,1.1028819500904015,0.5591693167419483,0.5306844068691134,0.31907240813598037,1.247269187355414,0.22144068917259574,10.847033000861604,1.674123115837574,8.650978702741364,2.116528756916523,0.001
