epoch,train_loss,train_field,train_peak,val_loss,val_field,val_peak,lr
1,2.3319164389058162,1.6774843554747731,6.544320744903464,1.5088330209255219,1.0582636147737503,4.505693972110748,0.001
2,1.3983790717626874,0.9681713824209414,4.302076740484488,0.8225542306900024,0.6445422321557999,1.780120074748993,0.001
3,0.9181707054376602,0.7192298064106389,1.989409025562437,0.6466632336378098,0.48545489460229874,1.6120832711458206,0.001
4,0.7272993036006626,0.5577894300222397,1.6950986561806578,0.5721886605024338,0.47875116765499115,0.934375062584877,0.001
5,0.5197798119563806,0.40410711184928294,1.1567270006788404,0.6465299502015114,0.5845784544944763,0.6195149719715118,0.001
6,0.5206108077576286,0.4344829477761921,0.8612786038827739,0.34606359153985977,0.28202899917960167,0.6403458677232265,0.001
7,0.3763168038506257,0.3094332222091524,0.6688358192087004,0.730599969625473,0.6697975695133209,0.6080241352319717,0.001
8,0.40790708990473495,0.3440898766643123,0.6381721361295173,0.4293837994337082,0.34653008729219437,0.8285371586680412,0.001
9,0.4219214018238218,0.3611775946460272,0.6074380712387594,0.2716250531375408,0.2305682674050331,0.41056785359978676,0.001
10,0.40084191529374374,0.34425671163358185,0.5658519970939347,0.2135513573884964,0.15599857829511166,0.575527735054493,0.001
11,0.274681493639946,0.23104959118523097,0.4363190214100637,0.3121362514793873,0.252491794526577,0.5964445248246193,0.001
12,0.2864048994685474,0.23960378726846293,0.4680111082760911,0.28248048573732376,0.1997140422463417,0.8276644498109818,0.001
13,0.2986416146159172,0.25301424374705866,0.4562737188841167,0.3277329318225384,0.28352440148591995,0.4420853443443775,0.001
14,0.2834505095685783,0.24724967758122243,0.36200831948142304,0.2858284115791321,0.23443636298179626,0.5139204934239388,0.001
15,0.29238045666562884,0.24799391823379616,0.44386538872985465,0.3131926916539669,0.26981087401509285,0.43381819501519203,0.001
16,0.3348318242320889,0.28860174688069445,0.46230077155326543,0.36890141665935516,0.30822717770934105,0.6067423112690449,0.001
17,0.3411017732792779,0.2951501988266644,0.459515740800845,0.3035905063152313,0.26275626197457314,0.4083424471318722,0.001
18,0.23382528890904627,0.20511668646021894,0.28708602595878274,0.2986954152584076,0.21484261378645897,0.838528037071228,0.001
19,0.3952229358255863,0.3409678875223586,0.5425504730328133,0.2678020969033241,0.23444952070713043,0.33352576196193695,0.001
20,0.25202816803204386,0.2135153668687532,0.38512799379072693,0.2564137652516365,0.18441785871982574,0.7199590802192688,0.001
21,0.2181791418084973,0.1882575764075706,0.2992156419510904,0.27234602719545364,0.23714584484696388,0.3520018048584461,0.001
22,0.27527891452375214,0.23629987004556155,0.38979046262408557,0.17117530293762684,0.13293824717402458,0.38237058371305466,0.001
23,0.21587082626003967,0.18556724155419752,0.3030358380392978,0.17000669613480568,0.13503005169332027,0.34976644814014435,0.001
24,0.3013549813706624,0.25481967804463285,0.4653530156632003,0.26339147984981537,0.19521375000476837,0.6817773059010506,0.001
