index,file,regime,mae_K,rel_l2,peak_true_K,peak_pred_K,peak_abs_err_K,inference_time_s,fem_solve_time_s
0,sample_0330.npz,id,0.016763580963015556,0.040440652823242364,2.1169145107269287,2.2150216102600098,0.09810709953308105,0.06967229954898357,0.00676950067281723
1,sample_0331.npz,id,0.018219104036688805,0.09865353132532496,0.933884859085083,0.920860767364502,0.013024091720581055,0.00796979945152998,0.006817500106990337
2,sample_0332.npz,id,0.014269741252064705,0.07061942520962224,0.8610290288925171,0.9025935530662537,0.04156452417373657,0.008203600533306599,0.013924499973654747
3,sample_0333.npz,id,0.02908303588628769,0.06146722535022085,1.4666084051132202,1.5597116947174072,0.09310328960418701,0.007818300276994705,0.010905800387263298
4,sample_0334.npz,id,0.029368365183472633,0.0657283207730928,1.5639206171035767,1.5685412883758545,0.004620671272277832,0.007990999147295952,0.008668599650263786
5,sample_0335.npz,id,0.02316933125257492,0.07995010718623559,1.4368127584457397,1.4844412803649902,0.04762852191925049,0.008534700609743595,0.00862560048699379
6,sample_0336.npz,id,0.016778411343693733,0.04988264602800242,1.0927284955978394,1.0793123245239258,0.013416171073913574,0.008126899600028992,0.009580999612808228
7,sample_0337.npz,id,0.015188983641564846,0.03788187057133902,1.5892300605773926,1.6319040060043335,0.04267394542694092,0.007856499403715134,0.0098045002669096
8,sample_0338.npz,id,0.010145660489797592,0.05176117826741698,0.9189079403877258,0.9219093322753906,0.003001391887664795,0.008553299121558666,0.010892600752413273
9,sample_0339.npz,id,0.03519464284181595,0.13385660346906483,0.8962332606315613,0.9892270565032959,0.09299379587173462,0.008395000360906124,0.010404099710285664
10,sample_0340.npz,id,0.0196820255368948,0.04989534997260945,2.2358922958374023,2.275850296020508,0.03995800018310547,0.007842699997127056,0.009446900337934494
11,sample_0341.npz,id,0.01763273775577545,0.045127364339196875,1.7275205850601196,1.8062199354171753,0.07869935035705566,0.00803350005298853,0.007113900035619736
12,sample_0342.npz,id,0.04017489776015282,0.11813852575639947,1.81429922580719,2.095616340637207,0.2813171148300171,0.008022100664675236,0.007079600356519222
13,sample_0343.npz,id,0.2126038372516632,0.13106274751758598,3.4901952743530273,3.2450544834136963,0.24514079093933105,0.008190900087356567,0.007596900686621666
14,sample_0344.npz,id,0.05436628311872482,0.09119851667079003,2.6231436729431152,2.536682605743408,0.08646106719970703,0.007785700261592865,0.00703050009906292
15,sample_0345.npz,id,0.13942871987819672,0.09806335562718403,3.2414209842681885,3.0619566440582275,0.17946434020996094,0.007937699556350708,0.007187199778854847
16,sample_0346.npz,id,0.007558499928563833,0.06736114483409622,0.43322524428367615,0.4236929416656494,0.009532302618026733,0.007531399838626385,0.007849999703466892
17,sample_0347.npz,id,0.017736243084073067,0.09054820463234273,1.2766989469528198,1.3606395721435547,0.08394062519073486,0.008252899162471294,0.007770100608468056
18,sample_0348.npz,id,0.049430832266807556,0.05045879817206797,3.8535118103027344,3.991638422012329,0.13812661170959473,0.007853199727833271,0.008256400004029274
19,sample_0349.npz,id,0.01050311978906393,0.04003978385766327,1.036475419998169,1.0576062202453613,0.021130800247192383,0.008086499758064747,0.008325200527906418
20,sample_0350.npz,ood_high_power,0.2788393199443817,0.15490934250428784,5.7162275314331055,6.570025444030762,0.8537979125976562,0.007584099657833576,0.008416499942541122
21,sample_0351.npz,ood_high_power,0.21343794465065002,0.19765451859304936,5.228810787200928,5.948329925537109,0.7195191383361816,0.008329899981617928,0.00812309980392456
22,sample_0352.npz,ood_high_power,0.1725923866033554,0.21278023258281023,5.076059818267822,5.272975921630859,0.1969161033630371,0.0077448999509215355,0.008644599467515945
23,sample_0353.npz,ood_high_power,0.08200431615114212,0.11244849638612735,2.6501877307891846,2.7336695194244385,0.0834817886352539,0.007796700112521648,0.006613999605178833
24,sample_0354.npz,ood_poor_tim,0.16574379801750183,0.4506724485543652,2.1695382595062256,1.2707374095916748,0.8988008499145508,0.007558900862932205,0.008417000062763691
25,sample_0355.npz,ood_poor_tim,0.33201301097869873,0.5510714674707252,3.591050863265991,2.062673807144165,1.5283770561218262,0.008094700053334236,0.010765999555587769
26,sample_0356.npz,ood_poor_tim,0.1245436817407608,0.1515367022117574,4.2218523025512695,4.550475120544434,0.32862281799316406,0.008297800086438656,0.008345100097358227
27,sample_0357.npz,ood_poor_cooling,0.37630802392959595,0.7520719626577697,1.2667731046676636,2.0275204181671143,0.7607473134994507,0.010253099724650383,0.006826899945735931
28,sample_0358.npz,ood_poor_cooling,0.498781681060791,0.25355443052308285,8.873069763183594,9.980194091796875,1.1071243286132812,0.010079999454319477,0.006742500700056553
29,sample_0359.npz,ood_poor_cooling,0.26431071758270264,0.3209174556456253,3.5278024673461914,6.121813774108887,2.5940113067626953,0.00847489945590496,0.007925399579107761
