epoch,train_loss,train_field,train_peak,val_loss,val_field,val_peak,lr
1,6.470161303093559,5.739778167323062,7.30383113026619,7.0670998096466064,6.72549045085907,3.416093200445175,0.001
2,2.258227199316025,1.7145536134117527,5.4367356990513045,3.3553307056427,3.0754700303077698,2.7986068427562714,0.001
3,1.9801635977468992,1.6511813919795186,3.2898218474890055,0.8354834467172623,0.6524534821510315,1.8302995264530182,0.001
4,1.2627730895029872,1.021235770300815,2.415373212412784,3.687290906906128,3.447641372680664,2.396495759487152,0.001
5,1.9477172533148213,1.5858223759814312,3.6189486880443598,1.0507200956344604,0.8212887197732925,2.294313818216324,0.001
6,1.0333287151236283,0.802993254441964,2.303354587601988,0.5338473245501518,0.418436735868454,1.1541058868169785,0.001
7,0.9510891468901383,0.8137707671052531,1.3731838662765528,1.153076946735382,0.9639525413513184,1.8912441730499268,0.001
8,0.8887722578487898,0.7112418617072859,1.7753039438669618,0.6429968029260635,0.5465950146317482,0.9640177339315414,0.001
9,0.5498472091398741,0.44085385454328435,1.0899335463580333,0.569281667470932,0.5084543377161026,0.6082732435315847,0.001
10,0.4711541027614945,0.401799580768535,0.6935452268900055,0.27519115433096886,0.22654502093791962,0.48646130226552486,0.001
11,0.8646738831149904,0.7593568343865243,1.053170545124694,0.65892144292593,0.6139180660247803,0.4500337466597557,0.001
12,0.5239977875822469,0.45756015652104426,0.664376256105147,0.3689454048871994,0.23479315266013145,1.341522440314293,0.001
13,0.4862871519044826,0.39271453571946996,0.9357261683203673,0.3938071206212044,0.2867577411234379,1.070493757724762,0.001
14,0.45068303338791194,0.37220768277582367,0.7847534966115889,0.6302740424871445,0.45792561024427414,1.7234840989112854,0.001
15,0.39150074908607885,0.3364561968728116,0.5504455311517966,0.30063479766249657,0.26502764225006104,0.3560715280473232,0.001
16,0.4135995746443146,0.34876192478757156,0.648376486803356,0.3743383064866066,0.2971711717545986,0.771671324968338,0.001
17,0.5340655089208954,0.4480866880009049,0.8597882139055353,0.27718593180179596,0.2162483148276806,0.6093761771917343,0.001
18,0.4872188368125966,0.4045680545662579,0.8265078242279982,0.3833569288253784,0.31356966495513916,0.6978725492954254,0.001
19,0.5915939051069712,0.5328548746673685,0.5873902532223024,2.385757625102997,2.300389736890793,0.8536788821220398,0.001
20,0.4842601469472835,0.43375463783741,0.5050550902164296,0.6503648012876511,0.6030784919857979,0.4728631228208542,0.001
21,0.48613415031056656,0.4379141942450875,0.4821995193824956,0.5015257447957993,0.33564069122076035,1.6588504612445831,0.001
22,0.49162348908813375,0.41953187043729584,0.7209161515102575,0.19806457310914993,0.17943789064884186,0.18626683577895164,0.001
23,0.3925526793065824,0.34222407560599477,0.5032860601418897,0.2038138210773468,0.1806609109044075,0.23152906447649002,0.001
24,0.2768043985492305,0.22520320705677332,0.5160119445308259,0.46328355371952057,0.4249083697795868,0.3837517499923706,0.001
25,0.2919891347226344,0.2551729483039756,0.36816184957952874,0.26833296567201614,0.18434781208634377,0.8398515582084656,0.001
