index,file,regime,mae_K,rel_l2,peak_true_K,peak_pred_K,peak_abs_err_K,inference_time_s,fem_solve_time_s
0,sample_0330.npz,id,0.013718361966311932,0.03060339204967022,2.1169145107269287,2.1578187942504883,0.04090428352355957,0.05957660009153187,0.00676950067281723
1,sample_0331.npz,id,0.020593125373125076,0.13271091878414154,0.933884859085083,0.8462574481964111,0.08762741088867188,0.04856220004148781,0.006817500106990337
2,sample_0332.npz,id,0.014823490753769875,0.06624361127614975,0.8610290288925171,0.9000071287155151,0.03897809982299805,0.05181770003400743,0.013924499973654747
3,sample_0333.npz,id,0.033832330256700516,0.06790002435445786,1.4666084051132202,1.4300684928894043,0.03653991222381592,0.04918610001914203,0.010905800387263298
4,sample_0334.npz,id,0.02605438604950905,0.0714321881532669,1.5639206171035767,1.5205745697021484,0.04334604740142822,0.049316300079226494,0.008668599650263786
5,sample_0335.npz,id,0.012721478007733822,0.039847131818532944,1.4368127584457397,1.5133764743804932,0.07656371593475342,0.05114770005457103,0.00862560048699379
6,sample_0336.npz,id,0.015484523959457874,0.043218471109867096,1.0927284955978394,1.082472562789917,0.010255932807922363,0.05295409983955324,0.009580999612808228
7,sample_0337.npz,id,0.017653726041316986,0.03673090785741806,1.5892300605773926,1.5674229860305786,0.021807074546813965,0.04957420006394386,0.0098045002669096
8,sample_0338.npz,id,0.011510144919157028,0.05079058185219765,0.9189079403877258,0.9649779200553894,0.046069979667663574,0.05363300000317395,0.010892600752413273
9,sample_0339.npz,id,0.023609405383467674,0.11261668801307678,0.8962332606315613,1.017661690711975,0.12142843008041382,0.052766500040888786,0.010404099710285664
10,sample_0340.npz,id,0.01832740753889084,0.046646326780319214,2.2358922958374023,2.345869541168213,0.10997724533081055,0.05447410000488162,0.009446900337934494
11,sample_0341.npz,id,0.014550099149346352,0.032931115478277206,1.7275205850601196,1.7735795974731445,0.0460590124130249,0.05384920001961291,0.007113900035619736
12,sample_0342.npz,id,0.03736545890569687,0.09316779673099518,1.81429922580719,2.00946044921875,0.19516122341156006,0.05576799996197224,0.007079600356519222
13,sample_0343.npz,id,0.18227015435695648,0.1122511625289917,3.4901952743530273,3.2770049571990967,0.21319031715393066,0.05211549997329712,0.007596900686621666
14,sample_0344.npz,id,0.042932722717523575,0.07710646837949753,2.6231436729431152,2.4688940048217773,0.1542496681213379,0.055394799914211035,0.00703050009906292
15,sample_0345.npz,id,0.05613534152507782,0.047786157578229904,3.2414209842681885,3.0625219345092773,0.17889904975891113,0.0560807001311332,0.007187199778854847
16,sample_0346.npz,id,0.007858320139348507,0.06297655403614044,0.43322524428367615,0.453949511051178,0.02072426676750183,0.049243299989029765,0.007849999703466892
17,sample_0347.npz,id,0.012596536427736282,0.0581359788775444,1.2766989469528198,1.366652488708496,0.08995354175567627,0.054774400079622865,0.007770100608468056
18,sample_0348.npz,id,0.04681672155857086,0.045828986912965775,3.8535118103027344,3.748626470565796,0.10488533973693848,0.05496209999546409,0.008256400004029274
19,sample_0349.npz,id,0.006311164703220129,0.025083426386117935,1.036475419998169,1.057419776916504,0.02094435691833496,0.056938800029456615,0.008325200527906418
20,sample_0350.npz,ood_high_power,0.21456526219844818,0.11004751920700073,5.7162275314331055,5.9238739013671875,0.20764636993408203,0.056811800226569176,0.008416499942541122
21,sample_0351.npz,ood_high_power,0.12071458250284195,0.09536418318748474,5.228810787200928,5.38197135925293,0.15316057205200195,0.05867599998600781,0.00812309980392456
22,sample_0352.npz,ood_high_power,0.10663741827011108,0.0956602394580841,5.076059818267822,5.298164367675781,0.22210454940795898,0.05767900007776916,0.008644599467515945
23,sample_0353.npz,ood_high_power,0.024418091401457787,0.04276562109589577,2.6501877307891846,2.724149227142334,0.07396149635314941,0.05827540019527078,0.006613999605178833
24,sample_0354.npz,ood_poor_tim,0.15188324451446533,0.38034048676490784,2.1695382595062256,1.606968879699707,0.5625693798065186,0.05932510015554726,0.008417000062763691
25,sample_0355.npz,ood_poor_tim,0.3813873529434204,0.6133245229721069,3.591050863265991,1.939517617225647,1.6515332460403442,0.06112940004095435,0.010765999555587769
26,sample_0356.npz,ood_poor_tim,0.11351850628852844,0.14167311787605286,4.2218523025512695,4.142941474914551,0.07891082763671875,0.06120319990441203,0.008345100097358227
27,sample_0357.npz,ood_poor_cooling,0.5315817594528198,1.3434401750564575,1.2667731046676636,3.1519548892974854,1.8851817846298218,0.06095340009778738,0.006826899945735931
28,sample_0358.npz,ood_poor_cooling,0.49499937891960144,0.18426533043384552,8.873069763183594,10.418705940246582,1.5456361770629883,0.05798969999887049,0.006742500700056553
29,sample_0359.npz,ood_poor_cooling,0.3501063585281372,0.4234354794025421,3.5278024673461914,5.781174659729004,2.2533721923828125,0.05414839996956289,0.007925399579107761
