index,file,regime,mae_K,rel_l2,peak_true_K,peak_pred_K,peak_abs_err_K,inference_time_s,fem_solve_time_s
0,sample_0330.npz,id,0.09346482902765274,0.2556566894054413,2.1871087551116943,2.0875468254089355,0.09956192970275879,0.019776799948886037,0.10269080102443695
1,sample_0331.npz,id,0.2770225703716278,0.39107173681259155,2.519024610519409,2.435020923614502,0.08400368690490723,0.014852700056508183,0.11410920321941376
2,sample_0332.npz,id,0.030074527487158775,0.2821858525276184,0.42143532633781433,0.46079832315444946,0.03936299681663513,0.014998399885371327,0.11634170264005661
3,sample_0333.npz,id,0.09560053795576096,0.33197832107543945,1.2226289510726929,1.1603535413742065,0.06227540969848633,0.016059900168329477,0.10869789868593216
4,sample_0334.npz,id,0.033809397369623184,0.3400721251964569,0.5374020934104919,0.5765153765678406,0.03911328315734863,0.018899800023064017,0.10565140098333359
5,sample_0335.npz,id,0.023300716653466225,0.25467485189437866,0.49245819449424744,0.5007424354553223,0.008284240961074829,0.017113700043410063,0.10612580180168152
6,sample_0336.npz,id,0.04254181683063507,0.3055720925331116,0.4875933825969696,0.6304143071174622,0.14282092452049255,0.017486399970948696,0.11714889854192734
7,sample_0337.npz,id,0.0840122178196907,0.3121502101421356,1.4474889039993286,1.189367413520813,0.2581214904785156,0.013817500090226531,0.11281800270080566
8,sample_0338.npz,id,0.025662928819656372,0.4746408462524414,0.25175097584724426,0.32151687145233154,0.06976589560508728,0.01699859998188913,0.09814219921827316
9,sample_0339.npz,id,0.03143889084458351,0.25918689370155334,0.8558608293533325,1.0890898704528809,0.23322904109954834,0.01621940010227263,0.141777902841568
10,sample_0340.npz,id,0.09761068224906921,0.42774537205696106,1.1257869005203247,0.8859029412269592,0.23988395929336548,0.020007899962365627,0.12284419685602188
11,sample_0341.npz,id,0.040781810879707336,0.3476012945175171,0.7481712698936462,0.8341582417488098,0.08598697185516357,0.02543490007519722,0.11597400158643723
12,sample_0342.npz,id,0.024498693645000458,0.33823198080062866,0.4766403138637543,0.5404991507530212,0.06385883688926697,0.025916900020092726,0.10629159957170486
13,sample_0343.npz,id,0.031021397560834885,0.26233401894569397,0.59935462474823,0.5421050190925598,0.057249605655670166,0.024988500168547034,0.11940299719572067
14,sample_0344.npz,id,0.07916007190942764,0.34484270215034485,0.8711777925491333,0.8905604481697083,0.01938265562057495,0.025210299994796515,0.11605630069971085
15,sample_0345.npz,id,0.026078756898641586,0.448510080575943,0.34903472661972046,0.4479180574417114,0.09888333082199097,0.026696800021454692,0.113161101937294
16,sample_0346.npz,id,0.023195406422019005,0.5226419568061829,0.1925661563873291,0.22257116436958313,0.03000500798225403,0.015218200162053108,0.1165475994348526
17,sample_0347.npz,id,0.059927504509687424,0.3027765452861786,0.8849062919616699,0.8414463996887207,0.04345989227294922,0.01752450014464557,0.12615330517292023
18,sample_0348.npz,id,0.019286349415779114,0.2834062874317169,0.32149699330329895,0.3982706665992737,0.07677367329597473,0.01516259997151792,0.12100990116596222
19,sample_0349.npz,id,0.10099847614765167,0.41771337389945984,0.7079694867134094,0.8237773776054382,0.11580789089202881,0.01909159985370934,0.11789359897375107
20,sample_0350.npz,ood_high_power,0.3672982156276703,0.9198415875434875,2.273081064224243,2.290821075439453,0.01774001121520996,0.0160134001635015,0.1041921004652977
21,sample_0351.npz,ood_high_power,0.09515319019556046,0.33954814076423645,1.859415888786316,1.7104251384735107,0.14899075031280518,0.024208999937400222,0.1044199988245964
22,sample_0352.npz,ood_high_power,0.05179746076464653,0.26117995381355286,1.4283983707427979,1.5821877717971802,0.15378940105438232,0.01949189999140799,0.11799599975347519
23,sample_0353.npz,ood_high_power,0.23573879897594452,0.5941042304039001,2.206637144088745,2.382991075515747,0.17635393142700195,0.01955300010740757,0.10994309931993484
24,sample_0354.npz,ood_poor_tim,0.05067477375268936,0.7547579407691956,0.5234443545341492,0.800341784954071,0.2768974304199219,0.01790909981355071,0.11259879916906357
25,sample_0355.npz,ood_poor_tim,0.08009476959705353,1.178294062614441,0.557534396648407,0.9670613408088684,0.4095269441604614,0.023039799882099032,0.09760929644107819
26,sample_0356.npz,ood_poor_tim,0.06477473676204681,0.2540520131587982,1.4629359245300293,1.6864900588989258,0.22355413436889648,0.019657199969515204,0.11159460246562958
27,sample_0357.npz,ood_poor_cooling,0.9695776104927063,0.878567636013031,2.722445011138916,2.4037694931030273,0.31867551803588867,0.017787099815905094,0.10988309979438782
28,sample_0358.npz,ood_poor_cooling,0.25762420892715454,0.5355861783027649,1.3781155347824097,2.1430158615112305,0.7649003267288208,0.01699290005490184,0.1021483987569809
29,sample_0359.npz,ood_poor_cooling,0.8870611190795898,1.0392663478851318,2.6582441329956055,2.4280362129211426,0.2302079200744629,0.017702599987387657,0.09816499799489975
