index,file,regime,mae_K,rel_l2,peak_true_K,peak_pred_K,peak_abs_err_K,inference_time_s,fem_solve_time_s
0,sample_0330.npz,id,0.04449838027358055,0.11905508488416672,2.1871087551116943,1.9999829530715942,0.1871258020401001,0.009811699856072664,0.10269080102443695
1,sample_0331.npz,id,0.28423070907592773,0.3709690272808075,2.519024610519409,2.6691579818725586,0.15013337135314941,0.007651199819520116,0.11410920321941376
2,sample_0332.npz,id,0.020439092069864273,0.18484868109226227,0.42143532633781433,0.41388142108917236,0.007553905248641968,0.010600100038573146,0.11634170264005661
3,sample_0333.npz,id,0.018987663090229034,0.07278065383434296,1.2226289510726929,1.2624059915542603,0.03977704048156738,0.008176799863576889,0.10869789868593216
4,sample_0334.npz,id,0.0064531308598816395,0.10779089480638504,0.5374020934104919,0.5747985243797302,0.03739643096923828,0.008785800077021122,0.10565140098333359
5,sample_0335.npz,id,0.010630001313984394,0.1427990049123764,0.49245819449424744,0.4404693841934204,0.051988810300827026,0.007034800015389919,0.10612580180168152
6,sample_0336.npz,id,0.01737208478152752,0.1737670749425888,0.4875933825969696,0.6057603359222412,0.1181669533252716,0.007142999907955527,0.11714889854192734
7,sample_0337.npz,id,0.028094511479139328,0.09697015583515167,1.4474889039993286,1.3437715768814087,0.10371732711791992,0.006423099897801876,0.11281800270080566
8,sample_0338.npz,id,0.008775410242378712,0.18544936180114746,0.25175097584724426,0.31873077154159546,0.0669797956943512,0.0061149001121521,0.09814219921827316
9,sample_0339.npz,id,0.022362099960446358,0.21233178675174713,0.8558608293533325,1.0301450490951538,0.1742842197418213,0.006507100071758032,0.141777902841568
10,sample_0340.npz,id,0.035084571689367294,0.19116473197937012,1.1257869005203247,0.9160457253456116,0.20974117517471313,0.007661400130018592,0.12284419685602188
11,sample_0341.npz,id,0.011381453834474087,0.14100448787212372,0.7481712698936462,0.8428926467895508,0.09472137689590454,0.006471800152212381,0.11597400158643723
12,sample_0342.npz,id,0.010553970001637936,0.17432910203933716,0.4766403138637543,0.4660871624946594,0.010553151369094849,0.008845599833875895,0.10629159957170486
13,sample_0343.npz,id,0.017394009977579117,0.1353577971458435,0.59935462474823,0.5620422959327698,0.037312328815460205,0.008732000133022666,0.11940299719572067
14,sample_0344.npz,id,0.02723616734147072,0.12781256437301636,0.8711777925491333,0.9175689220428467,0.04639112949371338,0.00684039993211627,0.11605630069971085
15,sample_0345.npz,id,0.016804907470941544,0.31169217824935913,0.34903472661972046,0.43419545888900757,0.08516073226928711,0.009865100029855967,0.113161101937294
16,sample_0346.npz,id,0.007152608595788479,0.17152760922908783,0.1925661563873291,0.17689812183380127,0.015668034553527832,0.006780100055038929,0.1165475994348526
17,sample_0347.npz,id,0.01916578784584999,0.103518545627594,0.8849062919616699,0.9322117567062378,0.04730546474456787,0.008570499951019883,0.12615330517292023
18,sample_0348.npz,id,0.008037264458835125,0.11559732258319855,0.32149699330329895,0.3689476251602173,0.047450631856918335,0.007014799863100052,0.12100990116596222
19,sample_0349.npz,id,0.02411707490682602,0.09967649728059769,0.7079694867134094,0.7831799983978271,0.07521051168441772,0.011088400147855282,0.11789359897375107
20,sample_0350.npz,ood_high_power,0.078036367893219,0.20992445945739746,2.273081064224243,2.008582830429077,0.264498233795166,0.007305300096049905,0.1041921004652977
21,sample_0351.npz,ood_high_power,0.0298296045511961,0.11308959871530533,1.859415888786316,1.9455235004425049,0.08610761165618896,0.006186399841681123,0.1044199988245964
22,sample_0352.npz,ood_high_power,0.025462495163083076,0.12861843407154083,1.4283983707427979,1.5382919311523438,0.1098935604095459,0.006216500187292695,0.11799599975347519
23,sample_0353.npz,ood_high_power,0.0622175857424736,0.162735253572464,2.206637144088745,2.325934648513794,0.11929750442504883,0.005114699946716428,0.10994309931993484
24,sample_0354.npz,ood_poor_tim,0.02229306660592556,0.32990503311157227,0.5234443545341492,0.6960231065750122,0.17257875204086304,0.00632070004940033,0.11259879916906357
25,sample_0355.npz,ood_poor_tim,0.029772421345114708,0.3237361013889313,0.557534396648407,0.5897793769836426,0.032244980335235596,0.008714900119230151,0.09760929644107819
26,sample_0356.npz,ood_poor_tim,0.032878465950489044,0.13979513943195343,1.4629359245300293,1.6149468421936035,0.15201091766357422,0.006916399812325835,0.11159460246562958
27,sample_0357.npz,ood_poor_cooling,0.9315866231918335,0.7712350487709045,2.722445011138916,3.436729669570923,0.7142846584320068,0.0052940999157726765,0.10988309979438782
28,sample_0358.npz,ood_poor_cooling,0.12633462250232697,0.2570195496082306,1.3781155347824097,1.3328033685684204,0.04531216621398926,0.005484800087288022,0.1021483987569809
29,sample_0359.npz,ood_poor_cooling,0.5271226167678833,0.6044745445251465,2.6582441329956055,2.974546432495117,0.3163022994995117,0.0053650999907404184,0.09816499799489975
