epoch,train_loss,train_field,train_peak,val_loss,val_field,val_peak,lr
1,2.6436941780542074,1.6142483071277016,10.294458335951754,1.9644838869571686,1.2170031070709229,7.474807620048523,0.001
2,2.0648460843061147,1.1955965404447757,8.692495240976935,1.1065988838672638,0.7315986901521683,3.7500020265579224,0.001
3,1.1189133634692745,0.6900806074079714,4.28832753708488,0.8492666929960251,0.7529339343309402,0.9633275270462036,0.001
4,0.7610405063942859,0.5842447218142057,1.7679577940388729,1.0209733545780182,0.815976083278656,2.0499726831912994,0.001
5,0.8543780987199984,0.6650995298435813,1.8927856644517498,0.456905335187912,0.42818310856819153,0.28722213581204414,0.001
6,0.549108978949095,0.43077605649044637,1.1833291830200898,0.5301143303513527,0.4448229968547821,0.8529133349657059,0.001
7,0.47067856396499436,0.3808720170667297,0.8980654095740694,0.47301896661520004,0.3992157429456711,0.7380322813987732,0.001
8,0.4753137003434332,0.38730306962603017,0.8801062771756398,0.41218946129083633,0.3909340500831604,0.21255415864288807,0.001
9,0.4787844976312236,0.38396681766760976,0.9481767608146918,0.5993730127811432,0.4348127990961075,1.6456020176410675,0.001
10,0.45048307588225917,0.35455971779791934,0.9592335561388418,0.30942828208208084,0.2971554733812809,0.12272815592586994,0.001
11,0.40925932361891393,0.34579192690159144,0.6346739751629924,0.23889395967125893,0.229523416608572,0.09370540641248226,0.001
12,0.34999495234928635,0.2973514218863688,0.5264353124718917,0.25550271943211555,0.2255886234343052,0.2991409357637167,0.001
