dimension,model,n_params,nodes,elements,directed_edges,mean_fem_ms,mean_inference_ms,mae_K,peak_abs_err_K,ood_mae_K,runtime_device,cuda_peak_memory_MiB,process_rss_MiB
2D,baseline,104321,2257,4320,13152,8.495716750621796,54.94422336729864,0.10349922627210617,0.3430547167857488,0.24898119550198317,cpu,,520.09375
3D,baseline,19713,1859,8640,22532,112.24629357457161,7.434583331147829,0.08347683399915695,0.12063896258672079,0.18655338697135448,cpu,,600.84375
