epoch,train_loss,train_field,train_peak,val_loss,val_field,val_peak,lr
1,2.2140455722808836,1.131832103729248,10.822134350935618,1.6543462574481964,1.0064652785658836,6.478809893131256,0.001
2,1.8389882723490396,0.9673748167355856,8.716134349505106,0.8285365849733353,0.5554869323968887,2.7304965257644653,0.001
3,0.933754362265269,0.5494909477233887,3.8426341125369072,0.4452287554740906,0.3861343078315258,0.5909444354474545,0.001
4,0.5869757171471913,0.4258528244495392,1.6112288884321848,0.3839547634124756,0.35844084434211254,0.25513917580246925,0.001
5,0.4886808939774831,0.37035475850105287,1.1832613166173298,0.27429809980094433,0.24197423458099365,0.323238642886281,0.001
6,0.48392628570397694,0.37347307523091633,1.1045320976773898,0.3485599681735039,0.2506204303354025,0.9793953821063042,0.001
7,0.40072347442309064,0.31324860831101736,0.8747486276427905,0.31423983350396156,0.28358515724539757,0.30654678912833333,0.001
8,0.3710788345336914,0.2932705559333165,0.7780827692896127,0.30217501521110535,0.21250910311937332,0.8966591507196426,0.001
9,0.37852204422156016,0.30810717105865476,0.7041487418860197,0.1997508043423295,0.18331958167254925,0.16431223787367344,0.001
10,0.38545365701119105,0.3129837653040886,0.7246989334623019,0.244698079302907,0.22391762025654316,0.20780460443347692,0.001
11,0.32653414984544116,0.26361906141042707,0.6291508612285057,0.2878157049417496,0.19771621096879244,0.9009948745369911,0.001
12,0.3153436550498009,0.26463287641604744,0.5071077803025643,0.19074893184006214,0.16970863658934832,0.21040296042338014,0.001
13,0.31301615367333097,0.2599745691816012,0.5304158477733533,0.13973478227853775,0.12548765819519758,0.14247123256791383,0.001
14,0.2991089233756065,0.2418825297554334,0.5722639155636231,0.15041247475892305,0.13651473354548216,0.1389773755799979,0.001
15,0.24232589662075044,0.1990540072321892,0.432718886397779,0.12652753107249737,0.1181912999600172,0.08336231636349112,0.001
16,0.2891455813248952,0.24257463365793228,0.4657094854613145,0.24492254480719566,0.2312727365642786,0.1364980824291706,0.001
17,0.25591587175925573,0.2181109141310056,0.3780495744074384,0.24521090649068356,0.22380944341421127,0.21401461865752935,0.001
18,0.24454293737808863,0.20173853556315105,0.4280440033475558,0.1798966396600008,0.171434267424047,0.08462374890223145,0.001
19,0.22881298462549846,0.1947859262426694,0.34027057483792306,0.10586009547114372,0.09549914207309484,0.10360953316558152,0.001
20,0.23009367952744167,0.1897712263961633,0.40322451674689846,0.19789031986147165,0.15527887642383575,0.42611442878842354,0.001
21,0.20112780104080835,0.16973044594128928,0.3139735579242309,0.2250257134437561,0.19702282175421715,0.2800288759171963,0.001
22,0.21025652185082436,0.17586451997359595,0.3439200020829837,0.13035790342837572,0.1104500750079751,0.19907826045528054,0.001
23,0.2157479958732923,0.17489823679129282,0.40849757264057796,0.16529576294124126,0.14339905604720116,0.21896707080304623,0.001
24,0.24115318834781646,0.19425773819287617,0.4689544969797134,0.1629644650965929,0.11739397561177611,0.45570487435907125,0.001
25,0.20841226478417715,0.1707152400414149,0.376970236475269,0.10121732857078314,0.086335189640522,0.14882138604298234,0.001
26,0.23540933112303417,0.1946327049533526,0.40776625864207744,0.17592769768089056,0.14579322654753923,0.30134466802701354,0.001
27,0.19344015076756477,0.16171464105447134,0.3172551044325034,0.11465851124376059,0.09169645980000496,0.2296205167658627,0.001
28,0.1705471795797348,0.14242717156807583,0.2812000613162915,0.1624497016891837,0.15377290733158588,0.08676794543862343,0.001
29,0.1860796755552292,0.15413754930098852,0.3194212483863036,0.10288567375391722,0.09408043138682842,0.08805242623202503,0.001
30,0.17623976349830628,0.14614560087521872,0.3009416302293539,0.1104915514588356,0.10550476238131523,0.04986789193935692,0.001
