model,n_params,MAE_K,RelativeL2,PeakAbsErr_K,R2,MeanInferenceTime_ms,BatchedInferenceTime_ms,MeanFEMSolveTime_ms,SpeedupVsFEM,SpeedupVsFEM_Batched
meshgraphnet,73153,0.14330941438674927,0.7079206109046936,0.15294890304406483,0.2846051958947463,19.12771334561209,20.980212666715186,112.24629357457161,5.868254691317872,5.350102754327595
baseline,19713,0.08347683399915695,0.49449649453163147,0.12063896258672079,0.6509376236806306,7.434583331147829,6.426353333517909,112.24629357457161,15.097859365474601,17.466561166054937
