dimension,model,nodes,elements,directed_edges,mean_fem_ms,mean_inference_ms,mae_K,peak_abs_err_K,ood_mae_K,runtime_device,cuda_peak_memory_MiB,process_rss_MiB
2D,meshgraphnet,2257,4320,13152,8.495716750621796,10.229099883387487,0.10952909290790558,0.3561767707268397,0.25085748806595803,unknown,,
3D,meshgraphnet,1859,8640,22532,112.24629357457161,19.12771334561209,0.14330941438674927,0.15294890304406483,0.3059794884175062,cpu,,1434.15625
